Επιτελείο - Σχηματισμός,Α/Α (ανα σχηματισμό),Ανταποκριτής,Αριθμός SIP,Συσκευή
ΥΠΕΘΑ,1,ΥΦΥΠΟΥΡΓΟΣ ΕΘΝ. ΑΜΥΝΑΣ,10002,KINHTO
ΥΠΕΘΑ,2,ΥΠΟΥΡΓΟΣ ΕΘΝ. ΑΜΥΝΑΣ,10001,KINHTO
ΓΕΕΘΑ,1,ΔΔΕΕ/ΔΚΤΗΣ,11750,KINHTO
ΓΕΕΘΑ,2,ΔΔΕΕ/ΥΔΚΤΗΣ,11751,KINHTO
ΓΕΕΘΑ,3,«Δ1»,11752,KINHTO - TRACK HARP
ΓΕΕΘΑ,4,ΔΥΝΑΜΗ «Δ2»,11753,KINHTO - TRACK HARP
ΓΕΕΘΑ,5,ΔΔΕΕ/ΚΕΠΙΧ,11759,H/Y - TRACK HARP
ΓΕΕΘΑ,6,ΔΔΕΕ/ΚΕΠΙΧ,11760,KINHTO
ΓΕΕΘΑ,7,Ζ’ ΜΑΚ/ΔΚΤΗΣ,11786,KINHTO - TRACK HARP
ΓΕΕΘΑ,8,ΔΚΤΗΣ «Δ1»,11733,KINHTO - TRACK HARP
ΓΕΕΘΑ,9,ΔΚΤΗΣ 12Ω,11735,KINHTO - TRACK HARP
ΓΕΕΘΑ,10,ΒΕΕ (ΒΑΣΗ ΕΙΔ. ΕΠΙΧ),11737,KINHTO - TRACK HARP
ΓΕΕΘΑ,11,ΤΕΕ 2ου ΛΚ,11734,KINHTO - TRACK HARP
ΓΕΕΘΑ,12,ΤΕΕ 4ου ΛΚ,13411,KINHTO - TRACK HARP
ΓΕΕΘΑ,13,ΤΕΕ 3ου ΛΚ,11732,KINHTO - TRACK HARP
ΓΕΕΘΑ,14,ΤΕΕ 1ου ΛΚ,11736,KINHTO - TRACK HARP
ΓΕΕΘΑ,15,ΔΚΤΗΣ «Δ2»,11731,KINHTO - TRACK HARP
ΓΕΕΘΑ,16,ΥΔΚΤΗΣ 12Ω /Ζ’ΜΑΚ (ΕΦΕΔΡΙΚΟ),13410,KINHTO - TRACK HARP
ΓΕΕΘΑ,17,2ο ΤΕΕ 4ου ΛΚ /2η ΔΡΙΑ 12Ω,11708,KINHTO - TRACK HARP
ΓΕΕΘΑ,18,ΥΔΚΤΗΣ «Δ1 »,11705,KINHTO - TRACK HARP
ΓΕΕΘΑ,19,ΥΔΚΤΗΣ «Δ2»,11706,KINHTO - TRACK HARP
ΓΕΕΘΑ,20,2ο ΤΕΕ 3ου ΛΚ/1η ΔΡΙΑ 12Ω,11707,KINHTO - TRACK HARP
ΓΕΕΘΑ,21,ΑΞ/ΚΟΣ ΣΥΝΔΕΣΜΟΣ ΕΤΑ,11789,KINHTO - TRACK HARP
ΓΕΕΘΑ,22,ΒΕΕ ΕΤΑ (ΒΑΣΗ ΕΙΔ. ΕΠΙΧ),11790,KINHTO - TRACK HARP
ΓΕΕΘΑ,23,ΕΤΑ / 1η ΕΟ,11787,KINHTO - TRACK HARP
ΓΕΕΘΑ,24,ΕΤΑ/ΔΚΤΗΣ,11785,KINHTO - TRACK HARP
ΓΕΕΘΑ,25,ΕΤΑ / 2η ΕΟ,11788,KINHTO - TRACK HARP
ΓΕΕΘΑ,26,ΕΤΑ / 4η ΕΟ,11792,KINHTO
ΓΕΕΘΑ,27,ΕΤΑ / 3η ΕΟ,11791,KINHTO
ΓΕΕΘΑ,28,865 ΤΕΝΕΦ/ΔΚΤΗΣ,11755,KINHTO - TRACK HARP
ΓΕΕΘΑ,29,ΕΤΑ / 5η ΕΟ,11703,KINHTO
ΓΕΕΘΑ,30,ΕΤΑ / 6η ΕΟ,11704,KINHTO
ΓΕΕΘΑ,31,ΔΚΤΗΣ 1ου ΤΕΕ / ΕΤΑ,11728,KINHTO
ΓΕΕΘΑ,32,ΔΚΤΗΣ 2ου ΤΕΕ / ΕΤΑ,11756,KINHTO
ΓΕΕΘΑ,33,ΔΚΤΗΣ 3ου ΤΕΕ / ΕΤΑ,11757,KINHTO
ΓΕΕΘΑ,34,ΜΑΕΕ/ΔΚΤΗΣ,11758,KINHTO
ΓΕΕΘΑ,35,865 ΤΕΝΕΦ / 1ο ΑΕΡΟΠΛΗΡΩΜΑ,11830,KINHTO - TRACK HARP
ΓΕΕΘΑ,36,865 ΤΕΝΕΦ / 2ο ΑΕΡΟΠΛΗΡΩΜΑ,11831,KINHTO - TRACK HARP
ΓΕΕΘΑ,37,Ζ' ΜΑΚ/ΒΕΕ/ΚΕΠΙΧ,11738,H/Y - TRACK HARP
ΓΕΕΘΑ,38,Ζ' ΜΑΚ/ΑΞΚΟΣ 3ου ΓΡΑΦΕΙΟΥ,11653,KINHTO
ΓΕΕΘΑ,39,Ζ' ΜΑΚ/ΑΞΚΟΣ ΕΠΙΚΟΙΝΩΝΙΩΝ,11654,KINHTO
ΓΕΕΘΑ,40,Ζ' ΜΑΚ/ΔΚΤΗΣ ΤΜ/ΤΟΣ ΣΧ. ΧΕΛΜΟΣ,11655,KINHTO
ΓΕΕΘΑ,41,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 1ης ΔΥΝΑΜΗΣ Δ1,11656,KINHTO
ΓΕΕΘΑ,42,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 2ης ΔΥΝΑΜΗΣ Δ1,11657,KINHTO
ΓΕΕΘΑ,43,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 1ης ΔΥΝΑΜΗΣ Δ2,11658,KINHTO
ΓΕΕΘΑ,44,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 2ης ΔΥΝΑΜΗΣ Δ2,11662,KINHTO
ΓΕΕΘΑ,45,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 1ης 12ΩΡΗΣ,11663,KINHTO
ΓΕΕΘΑ,46,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 2ης 12ΩΡΗΣ,11664,KINHTO
ΓΕΕΘΑ,47,ΕΤΑ/ΑΞΚΟΣ 3ου ΓΡΑΦΕΙΟΥ,11665,KINHTO - TRACK HARP
ΓΕΕΘΑ,48,ΕΤΑ/ΟΜΧΗΣ 1ης ΕΟ/1ου ΤΕΕ,11667,KINHTO
ΓΕΕΘΑ,49,ΕΤΑ/ΟΜΧΗΣ 2ης ΕΟ/1ου ΤΕΕ,11668,KINHTO
ΓΕΕΘΑ,50,ΕΤΑ/ΑΞΚΟΣ 4ου ΓΡΑΦΕΙΟΥ,11671,KINHTO - TRACK HARP
ΓΕΕΘΑ,51,ΕΤΑ/ΟΜΧΗΣ 1ης ΕΟ/2ου ΤΕΕ,11672,KINHTO - TRACK HARP
