Επιτελείο - Σχηματισμός,Χρήστης,Αριθμός Τηλεφώνου VoSIP,Παρατηρήσεις
ΓΕΕΘΑ/ΣΕΘΑ,ΔΚΤΗΣ,899-3000,(α)
ΓΕΕΘΑ/ΔΕΠ,ΔΚΤΗΣ,899-2000,(α)
ΓΕΕΘΑ/ΔΕΠ,ΥΠΔΚΤΗΣ,899-2001,(α)
ΓΕΕΘΑ/ΔΕΠ,ΚΕΠΙΧ,899-2002,(α)
ΓΕΕΘΑ/ΔΕΠ,2Ο  ΕΓ,899-2003,
ΓΕΣ,ΑΡΧΗΓΟΣ,800-1000,(α)
ΓΕΣ,ΑΡΧΗΓΟΣ/ΚΑΑΥ,800-1100,(α)
ΓΕΣ,ΑΡΧΗΓΟΣ/ΣΟΑ,800-1110,(α)
ΓΕΣ,ΥΠΑΣΠΙΣΤΗΡΙΟ ΑΡΧΗΓΟΥ,800-1006,(α)
ΓΕΣ,ΥΠΑΡΧΗΓΟΣ,800-1001,(α)
ΓΕΣ,ΓΕΠΣ,800-1002,(α)
ΓΕΣ,ΕΠΙΤΕΛΑΡΧΗΣ,800-1003,(α)
ΓΕΣ,ΔΑ΄Κ,800-1007,(α)
ΓΕΣ,ΓΕΣ/Α1,800-1016,(α)
ΓΕΣ,ΔΒ΄Κ,800-1008,(α)
ΓΕΣ,ΔΓ΄Κ,800-1009,(α)
ΓΕΣ,ΔΔ΄Κ,800-1010,(α)
ΓΕΣ,ΓΕΠΣ/ΔΙΔΟΕ/ΥΔΚΤΗΣ,800-1011,(α)
ΓΕΣ,ΚΕΠΙΧ,800-1004,
ΓΕΣ,Α2 (ΔΙΠΑ),800-1005,
ΓΕΣ,ΓΕΣ/ΔΠΖ,859-1000,(α)
ΓΕΣ,ΓΕΣ/ΔΙΤ,829-1000,(α)
ΓΕΣ,ΓΕΣ/ΔΠΒ,871-1000,(α)
ΓΕΣ,ΓΕΣ/ΔΜΧ,873-1000,(α)
ΓΕΣ,ΓΕΣ/ΔΕΔ,872-1000,(α)
ΓΕΣ,ΓΕΣ/ΔΔΒ,814-1000,(α)
ΓΕΣ,ΓΕΣ/ΔΑΣ,800-1012,(α)
ΓΕΣ,ΓΕΣ/ΔΕΜ,800-1013,(α)
ΓΕΣ,ΓΕΣ/ΔΥΠ,800-1014,(α)
ΓΕΣ,ΓΕΣ/ΔΤΧ,800-1015,(α)
ΓΕΣ,ΔΚΤΗΣ ΣΣΕ,803-1000,(α)
